ID,gender,age_group,citizen,vismin,immigrant,responded,voted_2019,past_vote,plan_to_vote,likely_party,Healthcare,Education,Taxes,Climate,Jobs,Housing,Indigenous,Immigration,Racial,Seniors,Childcare,COVID19,Debt,ads,decided,ad_affect
2,Female,55-64,yes,Yes,No,yes,no,Did not vote,No,Don't plan to vote,Moderately,Slightly,Moderately,Very,Moderately,Not,Not,Moderately,Slightly,Not,Not,Extremely,Moderately,TV,Decided,not at all
7,Male,45-54,yes,No,No,yes,yes,Liberal,Yes,Liberal,Not,Slightly,Moderately,Moderately,Very,Very,Moderately,Don't know,Not,Slightly,Moderately,Moderately,Extremely,Signs/Billboards,Decided,not at all
11,Female,55-64,yes,No,No,yes,yes,Liberal,Yes,Liberal,Slightly,Moderately,Moderately,Moderately,Moderately,Extremely,Slightly,Slightly,Slightly,Moderately,Don't know,Moderately,Moderately,Print,Decided,not at all
14,Female,45-54,yes,Yes,No,yes,yes,Conservative,Yes,Green,Slightly,Moderately,Moderately,Moderately,Moderately,Moderately,Don't know,Not,Not,Not,Moderately,Very,Moderately,Online,Decided,not at all
15,Male,45-54,yes,No,No,yes,yes,NDP,Yes,Liberal,Slightly,Not,Moderately,Moderately,Moderately,Extremely,Very,Not,Slightly,Don't know,Not,Extremely,Moderately,TV,Decided,not at all
16,Female,25-34,yes,Yes,No,yes,yes,Conservative,Yes,Liberal,Slightly,Extremely,Slightly,Not,Moderately,Moderately,Slightly,Slightly,Not,Not,Slightly,Extremely,Extremely,Online,Decided,not at all
17,Male,18-24,yes,No,No,yes,yes,Conservative,Yes,Liberal,Moderately,Moderately,Slightly,Moderately,Moderately,Not,Slightly,Moderately,Not,Not,Slightly,Moderately,Moderately,Online,Decided,not at all
18,Male,18-24,yes,No,No,yes,yes,NDP,Yes,NDP,Extremely,Moderately,Moderately,Slightly,Extremely,Extremely,Not,Moderately,Very,Not,Don't know,Moderately,Moderately,TV,Decided,not at all
21,Female,45-54,yes,No,No,yes,yes,Conservative,Yes,Liberal,Not,Not,Moderately,Not,Moderately,Moderately,Moderately,Not,Moderately,Moderately,Not,Moderately,Extremely,Online,Decided,not at all
26,Female,65 and over,yes,Yes,Yes,yes,yes,Liberal,Yes,Conservative,Slightly,Moderately,Moderately,Moderately,Extremely,Not,Not,Slightly,Moderately,Moderately,Slightly,Moderately,Moderately,TV,Decided,not at all
31,Female,18-24,yes,No,No,yes,yes,Liberal,Yes,Conservative,Extremely,Very,Slightly,Moderately,Slightly,Moderately,Slightly,Extremely,Moderately,Not,Moderately,Moderately,Moderately,TV,Decided,not at all
33,Female,55-64,yes,No,No,yes,yes,NDP,Yes,Liberal,Extremely,Moderately,Extremely,Slightly,Moderately,Don't know,Not,Not,Slightly,Moderately,Not,Extremely,Very,TV,Decided,not at all
34,Female,18-24,yes,Yes,Yes,yes,yes,Liberal,Yes,Liberal,Moderately,Not,Very,Don't know,Slightly,Moderately,Moderately,Not,Moderately,Not,Moderately,Moderately,Slightly,None,Decided,not at all
